1/12 7:45:26|Utils|isSplit|Splitting for method GET = false
1/12 7:45:26|Utils|isSplit|result = false
1/12 7:45:26|Utils|isSplitForTimeDiff|Method called.
1/12 7:45:26|Utils|isSplit|Splitting for time 1.456 = false
1/12 7:45:26|Utils|isSplit|result = false
1/12 7:45:26|Utils|isSplitForURLType|Method called.
1/12 7:45:26|Utils|isSplitForURLType|value = false
1/12 7:45:26|Utils|isSplitForURLType|value = false
1/12 7:45:26|Utils|isSplitForURLType|value = false
1/12 7:45:26|Utils|isSplit|isSplitForURLType = false
1/12 7:45:26|ChromeRecordingHttpListener|checkSplitOptionAndCaptureSnapShotForResponse|Auto split option not valid for URL = http://172.24.1.4:1323/
1/12 7:45:26|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1673532926824
1/12 7:45:26|Utils|convertToSecond method called|time = 5115.0
1/12 7:45:26|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1673532926824
1/12 7:45:26|Utils|convertToSecond method called|time = 5115.0
1/12 7:45:26|ChromeRecordingHttpListener|onCompleted |Adding dump diretory with path=C:\Users\kanhucharan.ghadai\Desktop\recorder\\scripts\workspace/admin/system/cavisson/default/default/scripts/Newsamplescript\dump\flow\172.24.1.4_1323/
1/12 7:45:26|ProgressBar|setVisible|Method Called. bool = false
1/12 7:45:26|ChromeBrowserNavigationListener|onFinishLoadingFrame|Method Called for URL=http://172.24.1.4:1323/
1/12 7:45:26|Utils|getURLTracker|urlString = http://172.24.1.4:1323/, requestOrResponce = snapShot
1/12 7:45:26|ChromeCClickListener|addAllHTMLElementsListeners|Method Called.
1/12 7:45:28|ChromeCClickListener|handleEvent|Method Called.
1/12 7:45:28|ChromeCClickListener|dumpEvent|Method Called. Event Type: value: "click"

 Tag Name = A
1/12 7:45:28|ChromeCClickListener|addLinkElement|Method Called.
1/12 7:45:28|Utils|setRecordingComments|method called.
1/12 7:45:28|ChromeBrowserNavigationListener|onStartLoadingFrame|Method Called for URL=http://172.24.1.4:1323/hello
1/12 7:45:28|ChromeBrowserNavigationListener|onStartLoadingFrame|Begin Loading URL == http://172.24.1.4:1323/hello  ===== Begin = 1673532928060
1/12 7:45:28|Utils|getURLTracker|urlString = http://172.24.1.4:1323/hello, requestOrResponce = snapShot
1/12 7:45:28|ChromeRecordingHttpListener|onBeforeURLRequest|method called.
1/12 7:45:28|ProgressBar|setVisible|Method Called. bool = true
1/12 7:45:28|ChromeRecordingHttpListener|onBeforeSendHeaders for url = http://172.24.1.4:1323/hello|method called.
1/12 7:45:28|ChromeRecordingHttpListener|dumpRequestHeaders|method called.
1/12 7:45:28|Utils|getURLTracker|urlString = http://172.24.1.4:1323/hello, requestOrResponce = request
1/12 7:45:28|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1673532928066
1/12 7:45:28|Utils|convertToSecond method called|time = 6357.0
1/12 7:45:28|Utils|isSplit|Method called.
1/12 7:45:28|Utils|isSplit|Splitting for Ajax Header = false
1/12 7:45:28|Utils|isSplit|Splitting for method GET = false
1/12 7:45:28|Utils|isSplit|result = false
1/12 7:45:28|Utils|isSplitForTimeDiff|Method called.
1/12 7:45:28|Utils|isSplit|Splitting for time 1.242 = false
1/12 7:45:28|Utils|isSplit|result = false
1/12 7:45:28|Utils|isSplitForURLType|Method called.
1/12 7:45:28|Utils|isSplitForURLType|value = false
1/12 7:45:28|Utils|isSplitForURLType|value = false
1/12 7:45:28|Utils|isSplit|isSplitForURLType = false
1/12 7:45:28|ChromeRecordingHttpListener|dumpRequestHeaders|Auto split page for user click = http://172.24.1.4:1323/hello
1/12 7:45:28|Utils|getURLTracker|urlString = http://172.24.1.4:1323/hello, requestOrResponce = response
1/12 7:45:28|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1673532928127
1/12 7:45:28|Utils|convertToSecond method called|time = 6418.0
1/12 7:45:28|Utils|isSplit|Method called.
1/12 7:45:28|Utils|isSplit|Splitting for Ajax Header = false
1/12 7:45:28|Utils|isSplit|Splitting for method GET = false
1/12 7:45:28|Utils|isSplit|result = false
1/12 7:45:28|Utils|isSplitForTimeDiff|Method called.
1/12 7:45:28|Utils|isSplit|Splitting for time 1.242 = false
1/12 7:45:28|Utils|isSplit|result = false
1/12 7:45:28|Utils|isSplitForURLType|Method called.
1/12 7:45:28|Utils|isSplitForURLType|value = false
1/12 7:45:28|Utils|isSplitForURLType|value = false
1/12 7:45:28|Utils|isSplitForURLType|value = false
1/12 7:45:28|Utils|isSplit|isSplitForURLType = false
